ACCESSION	ORGANISM	TAXONOMY	PREVIOUS_GENE	CONTROL_REGION	NEXT_GENE
NC_012975	Oryzias minutillus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Beloniformes', 'Adrianichthyidae', 'Oryziinae', 'Oryzias']	        tRNA [15578:15648](-) ['tRNA-Pro']	D-loop [15648:16953](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_012976	Oryzias dancena	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Beloniformes', 'Adrianichthyidae', 'Oryziinae', 'Oryzias']	        tRNA [15566:15636](-) ['tRNA-Pro']	D-loop [15636:16863](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_012979	Oryzias luzonensis	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Beloniformes', 'Adrianichthyidae', 'Oryziinae', 'Oryzias']	        tRNA [15578:15648](-) ['tRNA-Pro']	D-loop [15648:16666](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_012981	Oryzias javanicus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Atherinomorphae', 'Beloniformes', 'Adrianichthyidae', 'Oryziinae', 'Oryzias']	        tRNA [15567:15637](-) ['tRNA-Pro']	D-loop [15637:16892](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_014849	Cottus poecilopus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Cottioidei', 'Cottales', 'Cottidae', 'Cottus']	        tRNA [15634:15704](-) ['tRNA-Pro']	D-loop [15704:16560](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_018033	Ithaginis cruentus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Archelosauria', 'Archosauria', 'Dinosauria', 'Saurischia', 'Theropoda', 'Coelurosauria', 'Aves', 'Neognathae', 'Galloanserae', 'Galliformes', 'Phasianidae', 'Phasianinae', 'Ithaginis']	        source [0:16683](+) None	D-loop [0:1148](+) None	tRNA [1148:1216](+) ['tRNA-Phe']
NC_018814	Petrochromis trewavasae	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Cichlomorphae', 'Cichliformes', 'Cichlidae', 'African cichlids', 'Pseudocrenilabrinae', 'Tropheini', 'Petrochromis']	        tRNA [15626:15696](-) ['tRNA-Pro']	D-loop [15696:16588](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_018815	Tropheus moorii	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Ovalentaria', 'Cichlomorphae', 'Cichliformes', 'Cichlidae', 'African cichlids', 'Pseudocrenilabrinae', 'Tropheini', 'Tropheus']	        tRNA [15627:15697](-) ['tRNA-Pro']	D-loop [15697:16590](+) None	tRNA [0:69](+) ['tRNA-Phe']
NC_019811	Luciogobius platycephalus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Gobiaria', 'Gobiiformes', 'Gobioidei', 'Gobiidae', 'Gobionellinae', 'Luciogobius']	        tRNA [15577:15647](-) ['tRNA-Pro']	D-loop [15647:16478](+) None	tRNA [0:68](+) ['tRNA-Phe']
NC_020046	Epinephelus fuscoguttatus	['Eukaryota', 'Metazoa', 'Chordata', 'Craniata', 'Vertebrata', 'Euteleostomi', 'Actinopterygii', 'Neopterygii', 'Teleostei', 'Neoteleostei', 'Acanthomorphata', 'Eupercaria', 'Perciformes', 'Serranoidei', 'Serranidae', 'Epinephelinae', 'Epinephelini', 'Epinephelus']	        tRNA [15630:15700](+) ['tRNA-Pro']	D-loop [15700:16648](+) None	tRNA [0:70](+) ['tRNA-Phe']
